date,region,category,units_sold
2023-04-27,Riyadh,Grocery,559.0
2023-04-28,Riyadh,Grocery,575.0
2023-04-29,Riyadh,Grocery,856.0
2023-04-30,Riyadh,Grocery,751.0
2023-05-01,Riyadh,Grocery,587.0
2023-05-02,Riyadh,Grocery,588.0
2023-05-03,Riyadh,Grocery,542.0
2023-05-04,Riyadh,Grocery,538.0
2023-05-05,Riyadh,Grocery,672.0
2023-05-06,Riyadh,Grocery,933.0
2023-05-07,Riyadh,Grocery,746.0
2023-05-08,Riyadh,Grocery,599.0
2023-05-09,Riyadh,Grocery,572.0
2023-05-10,Riyadh,Grocery,524.0
2023-05-11,Riyadh,Grocery,559.0
2023-05-12,Riyadh,Grocery,602.0
2023-05-13,Riyadh,Grocery,779.0
2023-05-14,Riyadh,Grocery,782.0
2023-05-15,Riyadh,Grocery,606.0
2023-05-16,Riyadh,Grocery,558.0
2023-05-17,Riyadh,Grocery,563.0
2023-05-18,Riyadh,Grocery,592.0
2023-05-19,Riyadh,Grocery,655.0
2023-05-20,Riyadh,Grocery,680.0
2023-05-21,Riyadh,Grocery,759.0
2023-05-22,Riyadh,Grocery,567.0
2023-05-23,Riyadh,Grocery,546.0
2023-05-24,Riyadh,Grocery,494.0
2023-05-25,Riyadh,Grocery,603.0
2023-05-26,Riyadh,Grocery,593.0
2023-05-27,Riyadh,Grocery,768.0
2023-05-28,Riyadh,Grocery,836.0
2023-05-29,Riyadh,Grocery,533.0
2023-05-30,Riyadh,Grocery,488.0
2023-05-31,Riyadh,Grocery,508.0
2023-06-01,Riyadh,Grocery,545.0
2023-06-02,Riyadh,Grocery,604.0
2023-06-03,Riyadh,Grocery,777.0
2023-06-04,Riyadh,Grocery,706.0
2023-06-05,Riyadh,Grocery,532.0
2023-06-06,Riyadh,Grocery,519.0
2023-06-07,Riyadh,Grocery,599.0
2023-06-08,Riyadh,Grocery,522.0
2023-06-09,Riyadh,Grocery,546.0
2023-06-10,Riyadh,Grocery,778.0
2023-06-11,Riyadh,Grocery,748.0
2023-06-12,Riyadh,Grocery,523.0
2023-06-13,Riyadh,Grocery,536.0
2023-06-14,Riyadh,Grocery,540.0
2023-06-15,Riyadh,Grocery,554.0
2023-06-16,Riyadh,Grocery,608.0
2023-06-17,Riyadh,Grocery,800.0
2023-06-18,Riyadh,Grocery,710.0
2023-06-19,Riyadh,Grocery,586.0
2023-06-20,Riyadh,Grocery,496.0
2023-06-21,Riyadh,Grocery,503.0
2023-06-22,Riyadh,Grocery,500.0
2023-06-23,Riyadh,Grocery,624.0
2023-06-24,Riyadh,Grocery,837.0
2023-06-25,Riyadh,Grocery,771.0
2023-06-26,Riyadh,Grocery,524.0
2023-06-27,Riyadh,Grocery,565.0
2023-06-28,Riyadh,Grocery,528.0
2023-06-29,Riyadh,Grocery,488.0
2023-06-30,Riyadh,Grocery,582.0
2023-07-01,Riyadh,Grocery,768.0
2023-07-02,Riyadh,Grocery,661.0
2023-07-03,Riyadh,Grocery,524.0
2023-07-04,Riyadh,Grocery,483.0
2023-07-05,Riyadh,Grocery,517.0
2023-07-06,Riyadh,Grocery,528.0
2023-07-07,Riyadh,Grocery,565.0
2023-07-08,Riyadh,Grocery,755.0
2023-07-09,Riyadh,Grocery,700.0
2023-07-10,Riyadh,Grocery,538.0
2023-07-11,Riyadh,Grocery,527.0
2023-07-12,Riyadh,Grocery,476.0
2023-07-13,Riyadh,Grocery,495.0
2023-07-14,Riyadh,Grocery,619.0
2023-07-15,Riyadh,Grocery,780.0
2023-07-16,Riyadh,Grocery,704.0
2023-07-17,Riyadh,Grocery,489.0
2023-07-18,Riyadh,Grocery,485.0
2023-07-19,Riyadh,Grocery,549.0
2023-07-20,Riyadh,Grocery,544.0
2023-07-21,Riyadh,Grocery,591.0
2023-07-22,Riyadh,Grocery,821.0
2023-07-23,Riyadh,Grocery,689.0
2023-07-24,Riyadh,Grocery,516.0
2023-07-25,Riyadh,Grocery,515.0
2023-07-26,Riyadh,Grocery,481.0
2023-07-27,Riyadh,Grocery,560.0
2023-07-28,Riyadh,Grocery,622.0
2023-07-29,Riyadh,Grocery,703.0
2023-07-30,Riyadh,Grocery,670.0
2023-07-31,Riyadh,Grocery,515.0
2023-08-01,Riyadh,Grocery,516.0
2023-08-02,Riyadh,Grocery,455.0
2023-08-03,Riyadh,Grocery,522.0
2023-08-04,Riyadh,Grocery,593.0
2023-08-05,Riyadh,Grocery,719.0
2023-08-06,Riyadh,Grocery,720.0
2023-08-07,Riyadh,Grocery,495.0
2023-08-08,Riyadh,Grocery,511.0
2023-08-09,Riyadh,Grocery,530.0
2023-08-10,Riyadh,Grocery,499.0
2023-08-11,Riyadh,Grocery,530.0
2023-08-12,Riyadh,Grocery,726.0
2023-08-13,Riyadh,Grocery,652.0
2023-08-14,Riyadh,Grocery,531.0
2023-08-15,Riyadh,Grocery,508.0
2023-08-16,Riyadh,Grocery,512.0
2023-08-17,Riyadh,Grocery,519.0
2023-08-18,Riyadh,Grocery,488.0
2023-08-19,Riyadh,Grocery,735.0
2023-08-20,Riyadh,Grocery,637.0
2023-08-21,Riyadh,Grocery,526.0
2023-08-22,Riyadh,Grocery,476.0
2023-08-23,Riyadh,Grocery,503.0
2023-08-24,Riyadh,Grocery,540.0
2023-08-25,Riyadh,Grocery,524.0
2023-08-26,Riyadh,Grocery,652.0
2023-08-27,Riyadh,Grocery,597.0
2023-08-28,Riyadh,Grocery,492.0
2023-08-29,Riyadh,Grocery,449.0
2023-08-30,Riyadh,Grocery,509.0
2023-08-31,Riyadh,Grocery,495.0
2023-09-01,Riyadh,Grocery,533.0
2023-09-02,Riyadh,Grocery,642.0
2023-09-03,Riyadh,Grocery,645.0
2023-09-04,Riyadh,Grocery,523.0
2023-09-05,Riyadh,Grocery,536.0
2023-09-06,Riyadh,Grocery,552.0
2023-09-07,Riyadh,Grocery,540.0
2023-09-08,Riyadh,Grocery,548.0
2023-09-09,Riyadh,Grocery,687.0
2023-09-10,Riyadh,Grocery,685.0
2023-09-11,Riyadh,Grocery,495.0
2023-09-12,Riyadh,Grocery,486.0
2023-09-13,Riyadh,Grocery,457.0
2023-09-14,Riyadh,Grocery,539.0
2023-09-15,Riyadh,Grocery,535.0
2023-09-16,Riyadh,Grocery,752.0
2023-09-17,Riyadh,Grocery,683.0
2023-09-18,Riyadh,Grocery,472.0
2023-09-19,Riyadh,Grocery,428.0
2023-09-20,Riyadh,Grocery,493.0
2023-09-21,Riyadh,Grocery,476.0
2023-09-22,Riyadh,Grocery,508.0
2023-09-23,Riyadh,Grocery,636.0
2023-09-24,Riyadh,Grocery,648.0
2023-09-25,Riyadh,Grocery,473.0
2023-09-26,Riyadh,Grocery,434.0
2023-09-27,Riyadh,Grocery,628.0
2023-09-28,Riyadh,Grocery,708.0
2023-09-29,Riyadh,Grocery,463.0
2023-09-30,Riyadh,Grocery,642.0
2023-10-01,Riyadh,Grocery,659.0
2023-10-02,Riyadh,Grocery,459.0
2023-10-03,Riyadh,Grocery,421.0
2023-10-04,Riyadh,Grocery,442.0
2023-10-05,Riyadh,Grocery,445.0
2023-10-06,Riyadh,Grocery,468.0
2023-10-07,Riyadh,Grocery,590.0
2023-10-08,Riyadh,Grocery,562.0
2023-10-09,Riyadh,Grocery,427.0
2023-10-10,Riyadh,Grocery,449.0
2023-10-11,Riyadh,Grocery,410.0
2023-10-12,Riyadh,Grocery,424.0
2023-10-13,Riyadh,Grocery,529.0
2023-10-14,Riyadh,Grocery,652.0
2023-10-15,Riyadh,Grocery,527.0
2023-10-16,Riyadh,Grocery,437.0
2023-10-17,Riyadh,Grocery,417.0
2023-10-18,Riyadh,Grocery,404.0
2023-10-19,Riyadh,Grocery,407.0
2023-10-20,Riyadh,Grocery,474.0
2023-10-21,Riyadh,Grocery,972.0
2023-10-22,Riyadh,Grocery,945.0
2023-10-23,Riyadh,Grocery,648.0
2023-10-24,Riyadh,Grocery,705.0
2023-10-25,Riyadh,Grocery,404.0
2023-10-26,Riyadh,Grocery,406.0
2023-10-27,Riyadh,Grocery,502.0
2023-10-28,Riyadh,Grocery,686.0
2023-10-29,Riyadh,Grocery,543.0
2023-10-30,Riyadh,Grocery,427.0
2023-10-31,Riyadh,Grocery,442.0
2023-11-01,Riyadh,Grocery,464.0
2023-11-02,Riyadh,Grocery,413.0
2023-11-03,Riyadh,Grocery,525.0
2023-11-04,Riyadh,Grocery,678.0
2023-11-05,Riyadh,Grocery,639.0
2023-11-06,Riyadh,Grocery,397.0
2023-11-07,Riyadh,Grocery,432.0
2023-11-08,Riyadh,Grocery,458.0
2023-11-09,Riyadh,Grocery,460.0
2023-11-10,Riyadh,Grocery,445.0
2023-11-11,Riyadh,Grocery,653.0
2023-11-12,Riyadh,Grocery,593.0
2023-11-13,Riyadh,Grocery,402.0
2023-11-14,Riyadh,Grocery,431.0
2023-11-15,Riyadh,Grocery,479.0
2023-11-16,Riyadh,Grocery,497.0
2023-11-17,Riyadh,Grocery,530.0
2023-11-18,Riyadh,Grocery,661.0
2023-11-19,Riyadh,Grocery,610.0
2023-11-20,Riyadh,Grocery,492.0
2023-11-21,Riyadh,Grocery,404.0
2023-11-22,Riyadh,Grocery,470.0
2023-11-23,Riyadh,Grocery,434.0
2023-11-24,Riyadh,Grocery,474.0
2023-11-25,Riyadh,Grocery,635.0
2023-11-26,Riyadh,Grocery,641.0
2023-11-27,Riyadh,Grocery,463.0
2023-11-28,Riyadh,Grocery,453.0
2023-11-29,Riyadh,Grocery,493.0
2023-11-30,Riyadh,Grocery,512.0
2023-12-01,Riyadh,Grocery,518.0
2023-12-02,Riyadh,Grocery,646.0
2023-12-03,Riyadh,Grocery,687.0
2023-12-04,Riyadh,Grocery,501.0
2023-12-05,Riyadh,Grocery,444.0
2023-12-06,Riyadh,Grocery,455.0
2023-12-07,Riyadh,Grocery,467.0
2023-12-08,Riyadh,Grocery,595.0
2023-12-09,Riyadh,Grocery,783.0
2023-12-10,Riyadh,Grocery,619.0
2023-12-11,Riyadh,Grocery,479.0
2023-12-12,Riyadh,Grocery,496.0
2023-12-13,Riyadh,Grocery,542.0
2023-12-14,Riyadh,Grocery,495.0
2023-12-15,Riyadh,Grocery,514.0
2023-12-16,Riyadh,Grocery,798.0
2023-12-17,Riyadh,Grocery,726.0
2023-12-18,Riyadh,Grocery,517.0
2023-12-19,Riyadh,Grocery,539.0
2023-12-20,Riyadh,Grocery,506.0
2023-12-21,Riyadh,Grocery,576.0
2023-12-22,Riyadh,Grocery,535.0
2023-12-23,Riyadh,Grocery,786.0
2023-12-24,Riyadh,Grocery,726.0
2023-12-25,Riyadh,Grocery,564.0
2023-12-26,Riyadh,Grocery,512.0
2023-12-27,Riyadh,Grocery,493.0
2023-12-28,Riyadh,Grocery,571.0
2023-12-29,Riyadh,Grocery,555.0
2023-12-30,Riyadh,Grocery,785.0
2023-12-31,Riyadh,Grocery,767.0
2024-01-01,Riyadh,Grocery,560.0
2024-01-02,Riyadh,Grocery,484.0
2024-01-03,Riyadh,Grocery,605.0
2024-01-04,Riyadh,Grocery,515.0
2024-01-05,Riyadh,Grocery,665.0
2024-01-06,Riyadh,Grocery,910.0
2024-01-07,Riyadh,Grocery,824.0
2024-01-08,Riyadh,Grocery,638.0
2024-01-09,Riyadh,Grocery,635.0
2024-01-10,Riyadh,Grocery,577.0
2024-01-11,Riyadh,Grocery,545.0
2024-01-12,Riyadh,Grocery,577.0
2024-01-13,Riyadh,Grocery,875.0
2024-01-14,Riyadh,Grocery,812.0
2024-01-15,Riyadh,Grocery,587.0
2024-01-16,Riyadh,Grocery,541.0
2024-01-17,Riyadh,Grocery,535.0
2024-01-18,Riyadh,Grocery,586.0
2024-01-19,Riyadh,Grocery,650.0
2024-01-20,Riyadh,Grocery,799.0
2024-01-21,Riyadh,Grocery,814.0
2024-01-22,Riyadh,Grocery,666.0
2024-01-23,Riyadh,Grocery,529.0
2024-01-24,Riyadh,Grocery,548.0
2024-01-25,Riyadh,Grocery,685.0
2024-01-26,Riyadh,Grocery,752.0
2024-01-27,Riyadh,Grocery,908.0
2024-01-28,Riyadh,Grocery,889.0
2024-01-29,Riyadh,Grocery,1109.0
2024-01-30,Riyadh,Grocery,922.0
2024-01-31,Riyadh,Grocery,623.0
2024-02-01,Riyadh,Grocery,676.0
2024-02-02,Riyadh,Grocery,754.0
2024-02-03,Riyadh,Grocery,838.0
2024-02-04,Riyadh,Grocery,960.0
2024-02-05,Riyadh,Grocery,685.0
2024-02-06,Riyadh,Grocery,649.0
2024-02-07,Riyadh,Grocery,608.0
2024-02-08,Riyadh,Grocery,673.0
2024-02-09,Riyadh,Grocery,735.0
2024-02-10,Riyadh,Grocery,942.0
2024-02-11,Riyadh,Grocery,915.0
2024-02-12,Riyadh,Grocery,636.0
2024-02-13,Riyadh,Grocery,628.0
2024-02-14,Riyadh,Grocery,641.0
2024-02-15,Riyadh,Grocery,687.0
2024-02-16,Riyadh,Grocery,709.0
2024-02-17,Riyadh,Grocery,1015.0
2024-02-18,Riyadh,Grocery,966.0
2024-02-19,Riyadh,Grocery,686.0
2024-02-20,Riyadh,Grocery,649.0
2024-02-21,Riyadh,Grocery,667.0
2024-02-22,Riyadh,Grocery,677.0
2024-02-23,Riyadh,Grocery,743.0
2024-02-24,Riyadh,Grocery,908.0
2024-02-25,Riyadh,Grocery,949.0
2024-02-26,Riyadh,Grocery,612.0
2024-02-27,Riyadh,Grocery,643.0
2024-02-28,Riyadh,Grocery,666.0
2024-02-29,Riyadh,Grocery,699.0
2024-03-01,Riyadh,Grocery,753.0
2024-03-02,Riyadh,Grocery,1003.0
2024-03-03,Riyadh,Grocery,864.0
2024-03-04,Riyadh,Grocery,729.0
2024-03-05,Riyadh,Grocery,677.0
2024-03-06,Riyadh,Grocery,699.0
2024-03-07,Riyadh,Grocery,686.0
2024-03-08,Riyadh,Grocery,765.0
2024-03-09,Riyadh,Grocery,977.0
2024-03-10,Riyadh,Grocery,757.0
2024-03-11,Riyadh,Grocery,696.0
2024-03-12,Riyadh,Grocery,681.0
2024-03-13,Riyadh,Grocery,616.0
2024-03-14,Riyadh,Grocery,703.0
2024-03-15,Riyadh,Grocery,747.0
2024-03-16,Riyadh,Grocery,924.0
2024-03-17,Riyadh,Grocery,953.0
2024-03-18,Riyadh,Grocery,728.0
2024-03-19,Riyadh,Grocery,707.0
2024-03-20,Riyadh,Grocery,709.0
2024-03-21,Riyadh,Grocery,732.0
2024-03-22,Riyadh,Grocery,727.0
2024-03-23,Riyadh,Grocery,967.0
2024-03-24,Riyadh,Grocery,881.0
2024-03-25,Riyadh,Grocery,671.0
2024-03-26,Riyadh,Grocery,687.0
2024-03-27,Riyadh,Grocery,1115.0
2024-03-28,Riyadh,Grocery,1148.0
2024-03-29,Riyadh,Grocery,1336.0
2024-03-30,Riyadh,Grocery,1855.0
2024-03-31,Riyadh,Grocery,1709.0
2024-04-01,Riyadh,Grocery,1249.0
2024-04-02,Riyadh,Grocery,1186.0
2024-04-03,Riyadh,Grocery,1049.0
2024-04-04,Riyadh,Grocery,1394.0
2024-04-05,Riyadh,Grocery,1187.0
2024-04-06,Riyadh,Grocery,1787.0
2024-04-07,Riyadh,Grocery,1472.0
2024-04-08,Riyadh,Grocery,1361.0
2024-04-09,Riyadh,Grocery,658.0
2024-04-10,Riyadh,Grocery,661.0
2024-04-11,Riyadh,Grocery,722.0
2024-04-12,Riyadh,Grocery,739.0
2024-04-13,Riyadh,Grocery,931.0
2024-04-14,Riyadh,Grocery,831.0
2024-04-15,Riyadh,Grocery,638.0
2024-04-16,Riyadh,Grocery,714.0
2024-04-17,Riyadh,Grocery,603.0
2024-04-18,Riyadh,Grocery,544.0
2024-04-19,Riyadh,Grocery,794.0
2024-04-20,Riyadh,Grocery,899.0
2024-04-21,Riyadh,Grocery,835.0
2024-04-22,Riyadh,Grocery,689.0
2024-04-23,Riyadh,Grocery,613.0
2024-04-24,Riyadh,Grocery,605.0
2024-04-25,Riyadh,Grocery,693.0
2024-04-26,Riyadh,Grocery,789.0
2024-04-27,Riyadh,Grocery,968.0
2024-04-28,Riyadh,Grocery,812.0
2024-04-29,Riyadh,Grocery,601.0
2024-04-30,Riyadh,Grocery,1007.0
2024-05-01,Riyadh,Grocery,934.0
2024-05-02,Riyadh,Grocery,1090.0
2024-05-03,Riyadh,Grocery,1165.0
2024-05-04,Riyadh,Grocery,827.0
2024-05-05,Riyadh,Grocery,772.0
2024-05-06,Riyadh,Grocery,653.0
2024-05-07,Riyadh,Grocery,537.0
2024-05-08,Riyadh,Grocery,597.0
2024-05-09,Riyadh,Grocery,685.0
2024-05-10,Riyadh,Grocery,658.0
2024-05-11,Riyadh,Grocery,920.0
2024-05-12,Riyadh,Grocery,886.0
2024-05-13,Riyadh,Grocery,599.0
2024-05-14,Riyadh,Grocery,596.0
2024-05-15,Riyadh,Grocery,634.0
2024-05-16,Riyadh,Grocery,578.0
2024-05-17,Riyadh,Grocery,612.0
2024-05-18,Riyadh,Grocery,778.0
2024-05-19,Riyadh,Grocery,788.0
2024-05-20,Riyadh,Grocery,572.0
2024-05-21,Riyadh,Grocery,644.0
2024-05-22,Riyadh,Grocery,649.0
2024-05-23,Riyadh,Grocery,573.0
2024-05-24,Riyadh,Grocery,599.0
2024-05-25,Riyadh,Grocery,902.0
2024-05-26,Riyadh,Grocery,664.0
2024-05-27,Riyadh,Grocery,569.0
2024-05-28,Riyadh,Grocery,473.0
2024-05-29,Riyadh,Grocery,565.0
2024-05-30,Riyadh,Grocery,567.0
2024-05-31,Riyadh,Grocery,595.0
2024-06-01,Riyadh,Grocery,731.0
2024-06-02,Riyadh,Grocery,767.0
2024-06-03,Riyadh,Grocery,586.0
2024-06-04,Riyadh,Grocery,559.0
2024-06-05,Riyadh,Grocery,585.0
2024-06-06,Riyadh,Grocery,586.0
2024-06-07,Riyadh,Grocery,655.0
2024-06-08,Riyadh,Grocery,788.0
2024-06-09,Riyadh,Grocery,815.0
2024-06-10,Riyadh,Grocery,487.0
2024-06-11,Riyadh,Grocery,617.0
2024-06-12,Riyadh,Grocery,510.0
2024-06-13,Riyadh,Grocery,537.0
2024-06-14,Riyadh,Grocery,564.0
2024-06-15,Riyadh,Grocery,842.0
2024-06-16,Riyadh,Grocery,796.0
2024-06-17,Riyadh,Grocery,565.0
2024-06-18,Riyadh,Grocery,580.0
2024-06-19,Riyadh,Grocery,528.0
2024-06-20,Riyadh,Grocery,531.0
2024-06-21,Riyadh,Grocery,578.0
2024-06-22,Riyadh,Grocery,777.0
2024-06-23,Riyadh,Grocery,740.0
2024-06-24,Riyadh,Grocery,565.0
2024-06-25,Riyadh,Grocery,580.0
2024-06-26,Riyadh,Grocery,617.0
2024-06-27,Riyadh,Grocery,510.0
2024-06-28,Riyadh,Grocery,602.0
2024-06-29,Riyadh,Grocery,761.0
2024-06-30,Riyadh,Grocery,794.0
2024-07-01,Riyadh,Grocery,532.0
2024-07-02,Riyadh,Grocery,591.0
2024-07-03,Riyadh,Grocery,605.0
2024-07-04,Riyadh,Grocery,554.0
2024-07-05,Riyadh,Grocery,609.0
2024-07-06,Riyadh,Grocery,839.0
2024-07-07,Riyadh,Grocery,1159.0
2024-07-08,Riyadh,Grocery,827.0
2024-07-09,Riyadh,Grocery,856.0
2024-07-10,Riyadh,Grocery,795.0
2024-07-11,Riyadh,Grocery,803.0
2024-07-12,Riyadh,Grocery,641.0
2024-07-13,Riyadh,Grocery,813.0
2024-07-14,Riyadh,Grocery,931.0
2024-07-15,Riyadh,Grocery,723.0
2024-07-16,Riyadh,Grocery,1113.0
2024-07-17,Riyadh,Grocery,1131.0
2024-07-18,Riyadh,Grocery,990.0
2024-07-19,Riyadh,Grocery,1010.0
2024-07-20,Riyadh,Grocery,766.0
2024-07-21,Riyadh,Grocery,751.0
2024-07-22,Riyadh,Grocery,578.0
2024-07-23,Riyadh,Grocery,479.0
2024-07-24,Riyadh,Grocery,573.0
2024-07-25,Riyadh,Grocery,560.0
2024-07-26,Riyadh,Grocery,612.0
2024-07-27,Riyadh,Grocery,898.0
2024-07-28,Riyadh,Grocery,692.0
2024-07-29,Riyadh,Grocery,583.0
2024-07-30,Riyadh,Grocery,451.0
2024-07-31,Riyadh,Grocery,515.0
2024-08-01,Riyadh,Grocery,592.0
2024-08-02,Riyadh,Grocery,608.0
2024-08-03,Riyadh,Grocery,808.0
2024-08-04,Riyadh,Grocery,725.0
2024-08-05,Riyadh,Grocery,567.0
2024-08-06,Riyadh,Grocery,525.0
2024-08-07,Riyadh,Grocery,754.0
2024-08-08,Riyadh,Grocery,672.0
2024-08-09,Riyadh,Grocery,586.0
2024-08-10,Riyadh,Grocery,833.0
2024-08-11,Riyadh,Grocery,697.0
2024-08-12,Riyadh,Grocery,896.0
2024-08-13,Riyadh,Grocery,808.0
2024-08-14,Riyadh,Grocery,785.0
2024-08-15,Riyadh,Grocery,795.0
2024-08-16,Riyadh,Grocery,627.0
2024-08-17,Riyadh,Grocery,744.0
2024-08-18,Riyadh,Grocery,755.0
2024-08-19,Riyadh,Grocery,547.0
2024-08-20,Riyadh,Grocery,540.0
2024-08-21,Riyadh,Grocery,522.0
2024-08-22,Riyadh,Grocery,556.0
2024-08-23,Riyadh,Grocery,600.0
2024-08-24,Riyadh,Grocery,766.0
2024-08-25,Riyadh,Grocery,651.0
2024-08-26,Riyadh,Grocery,529.0
2024-08-27,Riyadh,Grocery,574.0
2024-08-28,Riyadh,Grocery,523.0
2024-08-29,Riyadh,Grocery,502.0
2024-08-30,Riyadh,Grocery,538.0
2024-08-31,Riyadh,Grocery,666.0
2024-09-01,Riyadh,Grocery,638.0
2024-09-02,Riyadh,Grocery,490.0
2024-09-03,Riyadh,Grocery,534.0
2024-09-04,Riyadh,Grocery,493.0
2024-09-05,Riyadh,Grocery,559.0
2024-09-06,Riyadh,Grocery,550.0
2024-09-07,Riyadh,Grocery,692.0
2024-09-08,Riyadh,Grocery,694.0
2024-09-09,Riyadh,Grocery,525.0
2024-09-10,Riyadh,Grocery,507.0
2024-09-11,Riyadh,Grocery,489.0
2024-09-12,Riyadh,Grocery,548.0
2024-09-13,Riyadh,Grocery,526.0
2024-09-14,Riyadh,Grocery,628.0
2024-09-15,Riyadh,Grocery,616.0
2024-09-16,Riyadh,Grocery,512.0
2024-09-17,Riyadh,Grocery,499.0
2024-09-18,Riyadh,Grocery,493.0
2024-09-19,Riyadh,Grocery,447.0
2024-09-20,Riyadh,Grocery,538.0
2024-09-21,Riyadh,Grocery,711.0
2024-09-22,Riyadh,Grocery,710.0
2024-09-23,Riyadh,Grocery,501.0
2024-09-24,Riyadh,Grocery,529.0
